strategy,seed,cache_information,bandwidth_allocation,training_request_count,evaluation_request_count,actual_training_fraction,avg_latency_ms,median_latency_ms,p95_latency_ms,latency_std_ms,cache_hit_ratio,backhaul_traffic_mbits,backhaul_load_ratio,avg_wireless_rate_mbps,bandwidth_fairness_index,wireless_rate_fairness_index,avg_wireless_delay_ms,avg_backhaul_delay_ms,avg_requested_file_size_mbits,avg_latency_ms_delta_vs_random,p95_latency_ms_delta_vs_random,cache_hit_ratio_delta_vs_random,backhaul_load_ratio_delta_vs_random
Random caching + equal BW,11,seeded random baseline,equal,3000,2000,0.6,1250.5735007160079,923.5029582319166,3247.5205243667097,1044.0870599064472,0.1595,8082.736690675873,0.8405,5.630379357040299,0.9839063414634149,0.8153960028961486,1142.9198172626284,107.65368345337937,5.050760553568114,0.0,0.0,0.0,0.0
Prior-informed popularity caching + equal BW,11,known Zipf prior,equal,3000,2000,0.6,1203.4809339049089,891.4782233004219,3196.1443289975887,1043.806984382238,0.5465,4856.223328456116,0.4535,5.630379357040299,0.9839063414634149,0.8153960028961486,1142.9198172626284,60.56111664228058,5.050760553568114,-47.092566811099005,-51.37619536912098,0.387,-0.387
Local popularity caching + equal BW,11,training prefix,equal,3000,2000,0.6,1203.861958952752,898.9157676496905,3182.70174305797,1043.6091183634855,0.543,4876.428338024688,0.457,5.630379357040299,0.9839063414634149,0.8153960028961486,1142.9198172626284,60.942141690123435,5.050760553568114,-46.71154176325581,-64.81878130873974,0.38350000000000006,-0.3835
Greedy caching + equal BW,11,training prefix,equal,3000,2000,0.6,1203.9138306101374,898.9636748072403,3196.1443289975887,1045.6276689186782,0.549,4982.802669501785,0.451,5.630379357040299,0.9839063414634149,0.8153960028961486,1142.9198172626284,60.994013347508925,5.050760553568114,-46.65967010587042,-51.37619536912098,0.38950000000000007,-0.3895
UCB-style MAB caching + equal BW,11,selected-arm training feedback,equal,3000,2000,0.6,1208.6199499291702,904.043273427635,3236.5891325794096,1047.6953192140195,0.519,5444.026533308351,0.481,5.630379357040299,0.9839063414634149,0.8153960028961486,1142.9198172626284,65.70013266654176,5.050760553568114,-41.953550786837695,-10.931391787300072,0.35950000000000004,-0.35950000000000004
Random caching + equal BW,22,seeded random baseline,equal,3000,2000,0.6,1270.8531091463733,1063.034134461682,2719.6081235191955,773.660015472233,0.1515,8481.683690423393,0.8485,5.2973721611383855,0.9834482758620691,0.8182624349101242,1160.5646906942568,110.28841845211696,4.868138230801373,0.0,0.0,0.0,0.0
Prior-informed popularity caching + equal BW,22,known Zipf prior,equal,3000,2000,0.6,1218.1531534078056,1013.2136820011505,2646.194868931063,768.9884185465569,0.548,4285.692542709829,0.452,5.2973721611383855,0.9834482758620691,0.8182624349101242,1160.5646906942568,57.58846271354915,4.868138230801373,-52.69995573856772,-73.41325458813253,0.3965000000000001,-0.3965
Local popularity caching + equal BW,22,training prefix,equal,3000,2000,0.6,1218.077216851272,1013.2136820011505,2646.194868931063,769.0514823885627,0.549,4286.5052314031,0.451,5.2973721611383855,0.9834482758620691,0.8182624349101242,1160.5646906942568,57.51252615701551,4.868138230801373,-52.77589229510136,-73.41325458813253,0.3975000000000001,-0.3975
Greedy caching + equal BW,22,training prefix,equal,3000,2000,0.6,1218.3793661046054,1013.9287522023421,2646.194868931063,771.2900844219012,0.55,4362.935082069791,0.45,5.2973721611383855,0.9834482758620691,0.8182624349101242,1160.5646906942568,57.814675410348954,4.868138230801373,-52.473743041767875,-73.41325458813253,0.3985000000000001,-0.3985
UCB-style MAB caching + equal BW,22,selected-arm training feedback,equal,3000,2000,0.6,1221.3921502853418,1017.0308039728377,2653.0631854395892,772.9989186887803,0.53,4645.491918217067,0.47,5.2973721611383855,0.9834482758620691,0.8182624349101242,1160.5646906942568,60.827459591085336,4.868138230801373,-49.460958861031486,-66.54493807960625,0.37850000000000006,-0.37850000000000006
Random caching + equal BW,33,seeded random baseline,equal,3000,2000,0.6,1261.8849134426791,896.6125054866069,3658.1674346184604,1050.0377737033489,0.225,8435.089852822159,0.775,5.432368878255926,0.9991993594875901,0.8150058979302245,1157.7094641785682,104.1754492641108,4.996951020043286,0.0,0.0,0.0,0.0
Prior-informed popularity caching + equal BW,33,known Zipf prior,equal,3000,2000,0.6,1219.9633663519094,867.2723676536189,3559.266306773336,1028.854550243158,0.5245,4842.780434668247,0.4755,5.432368878255926,0.9991993594875901,0.8150058979302245,1157.7094641785682,62.25390217334123,4.996951020043286,-41.921547090769764,-98.90112784512439,0.2995,-0.29950000000000004
Local popularity caching + equal BW,33,training prefix,equal,3000,2000,0.6,1219.7931218107592,865.2699214706629,3559.266306773336,1028.9787480545797,0.526,4832.731526438148,0.474,5.432368878255926,0.9991993594875901,0.8150058979302245,1157.7094641785682,62.083657632190736,4.996951020043286,-42.09179163191993,-98.90112784512439,0.30100000000000005,-0.30100000000000005
Greedy caching + equal BW,33,training prefix,equal,3000,2000,0.6,1217.663172302754,860.7909089735776,3588.879274761527,1042.227173534333,0.57,5110.741624837097,0.43,5.432368878255926,0.9991993594875901,0.8150058979302245,1157.7094641785682,59.95370812418549,4.996951020043286,-44.22174113992514,-69.28815985693336,0.345,-0.34500000000000003
